title,text
Brittany Mahomes Bikini Holds On For Dear Life ... On Yacht W/ Gal Pals,"
           Patrick Mahomes ' wife,  Brittany , really is a bikini model now -- the Sports Illustrated Swimsuit rookie put her stunning body on display during her vacation in Mexico ... and flaunted some serious underboob in the process. 
       
           The Kansas City Chiefs superstar and his longtime partner had a romantic trip in Cabo San Lucas over the past several days ... but on Sunday, it was all about the girls. 
       
           Brittany was spotted on a luxurious yacht with at least four other ladies ... soaking up the sun as they lounged on the back deck. 
       
           Britt rocked a tiny, orange two-piece for the occasion ... which is something she's quite accustomed to lately, as she was named to  SI's newest swimsuit issue  back in February. 
       
           No word on what all the ladies got into ... but chances are they had  Taylor Swift 's new 'Tortured Poets Department' album blaring on the speakers, considering Brittany was  super pumped  for  Travis Kelce 's girlfriend when the project dropped. 
       
           It was quite the eventful trip for the Mahomeses -- as we previously reported, the couple was  heckled by Raiders fans  while out at dinner together last week. 
       
           But all good things come to an end ... and same goes for the trip -- after all, the next football season will be here before ya know it. 
      "
Post Malone Tribute to Taylor Swift Sparks Bad Blood with Beyoncé Fans,"
           Post Malone  has gotta be screaming, ""damned if ya do, damned if ya don't"" -- after recording collabs with  Taylor Swift  AND  Beyoncé  ... Swifties love him, but the Beyhive's pissed. 
       
           The drama started when one fan called out the striking difference between Post's tributes for Taylor and Bey ... pointing out he wrote a heartfelt note to TS, but just dropped a simple shout-out for B. 
       
           After the release of ""Fortnight"" -- the song he did with Taylor -- Post took to Instagram and shared a photo of them in the studio, and wrote, ""It’s once in a lifetime that someone like @taylorswift comes into this world. I am floored by your heart and your mind, and I am beyond honored to have been asked to help you with your journey 🥹 I love you so much. Thank you Tay 💕"" 
       
           While he also uploaded a tribute for his Bey duet, ""LEVII'S JEANS"" -- from the ""Cowboy Carter"" album -- his caption was a more simple, ""i love you @beyonce."" 
       
           Several fans on X took it as a snub to Beyoncé, but not all agreed and the debate was on -- Beyhive v. Swiftees! 
       
           One team Taylor rebuttal explained, ""Taylor wrote two posts about him. he gave her same energy. stop crying for god's sake."" 
       
           Another added ... ""you are acting like as if he’s cursing on beyoncé or he said something bad like.. i don’t see any problem at all."" 
       
           Still, others felt Post's performance on Beyoncé's album was more impressive ... and deserved more than a one-sentence declaration of love. 
       
           At the end of the day, Bey and Tay are very vocal about supporting each other. Remember, they  attended each other's movie premieres  last year  ... shutting down any notion of a rivalry. 
       
           So, the drama all seems unnecessary -- unless, of course, you're among the overly faithful fanbase of either singer. 
      "
Dutch Soccer Final Fire Breaks Out Behind Goal ... Game Delayed 30 Minutes,"
           A soccer final in the Netherlands was a real barn burner ... quite literally 'cause a fire broke out behind one of the goals throwing the match into chaos. 
       
           Feyenoord played NEC Nijmegen in the Dutch Cup Final Sunday -- the championship match of a major knockout tournament in the Netherlands -- when fans reportedly set off fireworks in the stadium ... and a huge banner caught fire. 
       
           The plume of black smoke's totally encasing the fans here ... making it difficult even to see the ones in the middle while those on the sides seem to be waving for help. 
       
           The fire -- reported to be relatively small -- was apparently put out quickly by firefighters, and there are no reported injuries ... but, check out the pic. Definitely, could've been worse. 
       
           BTW ... sports conspiracy theorists can have a field day with this one -- 'cause it was a Feyenoord banner that caught fire causing players to evacuate the field for about half an hour in the 55th minute. 
       
           Unclear if their supporters actually started the fire -- though some online are claiming they did -- but, four minutes after play resumed Feyenoord scored the lone goal of the afternoon winning the match 1-0. Coincidence??? 
       
           In any case, it's Feyenoord's 14th KNVB Dutch Cup victory ... and, ya gotta think their fans are pretty fired up about it!!! 
      "
Taylor Swift Intense Exercise Routine Would Make Others Barf,"
           Taylor Swift 's workout routine is so brutal that it would make some people throw up while forcing others to lay down on the floor ... so says the pop superstar's trainer  Kirk Myers . 
       
           Myers revealed to Vogue the singer's killer exercise regimen as he finally embraced his cool title as ""Taylor Swift's trainer"" after a decade of working with her. 
       
           Myers provided a road map on how Taylor prepped for her global ""Eras"" tour, requiring her to perform for 3 hours and 15 minutes each show. 
       
           He says they choreographed her workout like a professional athlete with an ""off-season"" when she wasn't touring and an ""in-season"" when she was performing. 
       
           Off-season training was rough ... Taylor trained up to 6 days a week for about two hours each day. She zeroed in on improving her strength and conditioning while also focusing on core exercises for balance and stability, which would help her dance and maneuver onstage. 
       
           While she was on the road, Taylor dove into in-season training to maintain her stability, mobility and strength. She would do biomechanical stretches to strengthen her spine, soft tissues and other joints in her body. 
       
           Myers says Taylor was so committed to her exercise routine she would perform 4 concerts in a row with super intensity and still show up to the gym. 
       
           “Taylor is the most resilient person I have ever met,” Myers told Vogue, adding that she always persevered with each difficult challenge before moving on to the next exercise. 
       
           As a side note, the two first met through a mutual friend and, yes, Myers admitted he was already a big fan of Taylor and her music. Just another Swiftie! 
      "
The Spice Girls Impromptu Performance Caught On Tape By David Beckham,"
           The Spice Girls had their own mini-reunion performance at  Victoria Beckham 's 50th bday bash Saturday night ... and hubby  David  made sure to capture it all on camera! 
       
           Every millennial's dream came true as Posh, Baby ( Emma Bunton ), Sporty ( Melanie Chisholm ), Ginger ( Geri Halliwell ) and Scary ( Melanie Brown ) Spice  performed an impromptu rendition of their hit song ""Stop."" 
       
           As fans know, the group last toured as a four-piece in 2019 without Victoria ... and the last time the entire group came together for a live performance was at the London Olympics closing ceremony in 2012. 
       
           As we previously reported, the UK event was  star-studded  ... with celebs like  Tom Cruise , Gordon Ramsay ,  Guy Ritchie ,  Jason Statham , Victoria's Secret Angel  Rosie Huntington-Whiteley, Marc Anthony  and his new wife  Nadia Ferreira ,  Eva Longoria,  and a whole lot more. 
       
           The party was held at private members' club Oswald's in London ... and Victoria posted it was the ""Best night ever!"" 
       
           And, shoutout to David for spicing up our lives! 
      "
David Beckham Sues Mark Wahlberg's Co. ... You're Unfit to Make Fitness Deals!!!,"
           Two fitness titans are on a path to square off in court, because  David Beckham  has sued  Mark Wahlberg 's company over a fitness deal that made the former soccer star way lighter in the wallet. 
       
           Beckham's company, DB Ventures Ltd, alleges in the lawsuit F45 ""duped"" him into signing on with F45 Training, a company in which Wahlberg has a 36% interest. M.W. also serves as the company's chief brand officer. 
       
           Beckham, who got close to Mark when he moved to Cali to play for the L.A. Galaxy, became F45's Global Ambassador. The selling point -- David has millions of social media followers, so it would presumably greatly expand the reach of the company. 
       
           Well, things didn't work out. Beckham says he never got the $10 mil he was promised ... this after the company's stock tanked. BTW ... those posts have been deleted. 
       
           F45 asked the judge to 86 the lawsuit, calling it ""fraudulent,"" but the judge said the case will move on. 
       
           BTW ... David's not alone.  Terrell Owens  filed the same type of suit against F45 way back in 2017, claiming the company stiffed him to the tune of $700,000. 
      "
Arnold Schwarzenegger Here's How I Punked Sly Into Starring in Movie Flop!!!,"
           Arnold Schwarzenegger  epically punked  Sylvester Stallone  into signing on for the most disastrous film of Sly's career, and that's exactly what Arnold wanted to happen! 
       
           Arnold and Sly sat down with  Harvey  for a candid, sometimes stunning convo about the intense rivalry between the 2 mega-action stars. 
       
           Sly was stunned as Arnold explained how he got his now-good friend to star in ""Stop! Or My Mom Will Shoot."" Arnold knew the script was terrible, but he had heard Sly was kinda interested in it. So Arnold figured if Sly felt he wanted the role, Sly would jump at it. 
       
           So Arnold called his agent, who in turn called Sly's agent to say A.S. was super interested in the script. Arnold then secretly called the director to express interest -- something Sly didn't know until now. 
       
           Well, short story kinda long, Sly jumped and took the role, and the movie was a disaster, which is exactly what Arnold wanted. And Sly isn't shy about saying he got played. 
       
           ""TMZ Presents Arnold & Sly: Rivals, Friends, Icons"" airs Tuesday at 8 PM/7 Central on FOX. 
      "
'TMZ Presents Arnold & Sly' Torn Pec Forced 'Rocky II' Change ... Sly Brings the Pain!!!,"
           Sylvester Stallone  came within a hair's breadth of tanking ""Rocky II"" because of a gruesome injury, and you won't believe how he powered through to shoot the flick! 
       
           Sly and  Arnold Schwarzenegger  sat down with  Harvey , and for the first time ever together they talked about their unbelievable rivalry and how it blossomed into a close friendship. 
       
           Arnold's trainer and compadre, bodybuilding legend  Franco Columbu , trained Sly for ""Rocky II,"" and when Franco challenged Sly to a bench press competition, the actor was game ... until he ripped his pec off the bone. 
       
           Here's the problem. The injury occurred a month-and-a-half before Sly was set to star in and direct the 'Rocky' sequel -- so, you gotta see him explain how he pulled it outta the fire! 
       
           As 'Rocky' fans know, Balboa's normally a southpaw (lefthanded), but in ""Rocky II"" he learns to fight righthanded. That wasn't just a random plot twist -- turns out it was the only way Sly could film with his injury. 
       
           As Sly put it to us ... pushing through the pain is just what driven folks like Arnold and himself did to make it to the top. 
       
           ""TMZ Presents Arnold & Sly: Rivals, Friends, Icons"" airs Tuesday at 8/7 Central on FOX. 
      "
GloRilla Dame's Estranged Wife Can't Clown Me ... Custom GloLillard Jersey,"
           GloRilla 's not letting  Damian Lillard 's estranged wife get her down ... turning a roast on its head by embracing a new nickname she gave her. 
       
           The rapper posted a video to her IG story showing off her fresh new jersey ... a yellow crop top-esque fit with red lettering on the back reading ""GloLillard"" with Dame's number ""0"" below it. 
       
           It's a pretty friendly shot clap back at Lillard's estranged wife  Kay'La  who the Milwaukee Bucks star  filed for divorce  from back in October. 
       
           Remember ... after GloRilla's recent arrest for DUI, Kay'La  posted Glo's mug shot  on IG -- jokingly calling her a sister wife and throwing out ""#FreeGloLillard."" 
       
           Lots of fans took it as a shot a GloRilla ... who's made  pretty clear advances  toward Lillard recently -- and many wanted to see how Glo would respond. 
       
           Seems like it's not bothering Glo all that much though ... instead, she;'s embracing the nickname -- and, maybe she's hoping to manifest a new coupling with her clothes. 
       
           Besides, Glo's got her own issues ... we broke the story, cops  arrested and booked  her last week on suspicion of driving under the influence, consuming/possessing an open alcoholic beverage container and a separate traffic charge -- so, she's probably not trying to start any more drama. 
       
           Anyhoo ... seems like GloLillard's here to stay -- whether his soon-to-be ex likes it or not. 
      "
David Zucker Not Involved In 'Naked Gun' Remake ... No One's Reached Out!!!,"
           David Zucker 's not excited about ""The Naked Gun"" remake ... saying he's not involved with the project, and he's worried the team behind it doesn't realize how difficult the spoof is. 
       
           We spoke with Zucker -- director of famous classic comedies like 'Naked Gun' and ""Airplane!"" -- about the Paramount+ remake starring  Liam Neeson  and  Pamela Anderson  ... and, he says he doesn't know how it's going to turn out 'cause no one's reaching out to him. 
       
           Zucker says he and his partners,  Pat Proft  and  Mike McManus  submitted a script to Paramount back in 2018 ... and says they thought the studio liked the concept. 
       
           So, he says it came as a bit of a shock when they handed the franchise to a totally different set of creatives ... who he says haven't even reached out for advice or a possible cameo. 
       
           As for how they'll handle the material ... DZ says this type of spoof isn't rocket science, but it sure ain't easy -- adding he often says, ""Don't try this at home"" when it comes to this style. 
       
           And, David says he's not convinced a remake's necessary -- 'cause younger generations are already finding movies like 'Naked Gun,' ""Airplane!"", ""Top Secret!"" and more on their own. 
       
           BTW ... watch the clip til the end to hear Zucker's thoughts on  O.J. Simpson 's acting in 'Naked Gun' -- and, you can see the comedy legend's still got it! 
       
           News of the 'Naked Gun' remake broke this week ... with Neeson and Anderson attached to star and Lonely Island/'SNL' alum  Akiva Schaffer  to co-write and direct. 
       
           In any case, Zucker's skeptical about the project ... unsure if it'll hit its target, or end up misfiring completely. 
      "
