title,text
LUKE BRYAN MEATy Backside Broke My Fall 🍑🙏🏽,"
           Luke Bryan 's counting his blessings for the extra padding that saved him when he took a nasty tumble onstage during his latest concert stop. 
       
           We caught up with the country star at Cecconi's Monday in L.A. ... and he joked his weekend slip-and-fall wasn't as painful as it looked 'cause he's got ""a whole lot of meat back there"" -- referring to his butt, of course -- which softened the landing. 
       
           ICYMI, the initial buzz was Luke  went horizontal  Saturday -- during his performance at the Coast City Country Festival in Vancouver -- due to a fan's phone that was left on the stage. 
       
           But, a later video angle showed he simply slipped on the floor ... perhaps on some moisture or liquid. Either way, Luke's told us he's still scratching his head over what exactly sent him plummeting. 
       
           He clearly didn't mind being the butt of the joke, though, as he spoke to us -- and also by the way he reacted with good humor seconds after going down. 
       
           In the viral clip of his fall, you can see Luke staying down for a hot second ... before brushing it off with a laugh as he jumped back up 'cause the show must go on, of course! 
      "
Jill Scott Blown Up for Chris Brown Defense ... After His Quavo Attack,"
           Jill Scott  isn't going to let  Chris Brown ’s checkered past block her enjoyment of listening to him lyrically pummel  Quavo , and she's been fending off critics who wished she didn't cape for Chris!!! 
       
           The ripple effect from Chris' brutal ""Weakest Link"" graced Jill's radar over the weekend and she couldn't help, but gush over the embattled singer's MC skills ... “@chrisbrown is amazing. How does ANYBODY sing like THAT? Dance, look, Act and Rap… like THAT?” wrote Scott on Sunday morning. 
       
           “Beyond gifted. It appears, exceptional people have to go through exceptional 🔥. There’s nothing to debate.” 
       
           The praise struck a nerve with fans on X, many felt CB had gone too far on the diss -- especially with his record of domestic violence with  Rihanna . 
       
           Blowback over collabs  is nothing new  to Chris ... but the ferocity of his Quavo diss has fans concerned Jill is instigating future violence. 
       
           Jilly from Philly defended her comments from past experience by using her mother's ex-husband as an example -- she painted him as a ""mean, violent"" abuser who was also celebrated for being a popular bricklayer around the city. 
       
           After much deliberation on Monday, Jill says she gave an open mind to every POV darted at her head ... and is still comfortable with her comments. 
       
           Despite the backlash, people are enjoying CB's spill --. the song has nearly 2 million plays on his YouTube channel, and would inevitably rack up more if he put the song on streaming. 
       
           Quavo is currently on the clock. 
      "
"Busta Rhymes Phones Down, and Put Ya Hands Where My Eyes Can See!!!","
           Busta Rhymes  ain't about to stomach Hollywood-type crowds at his performance -- even if the gig happens to be in the Hollywood Hills!!! 
       
           That was the plotline when  Dwyane Wade  and cannabis co. Jeeter recruited Bussa Bus to perform at the after-party of their 420 ""High Dining"" event ... and while he was trying to do his duty, he wasn't getting high vibes from the crowd. 
       
           Basically, the audience wasn't giving Busta the energy he felt his classic tune ""Put Your Hands Where My Eyes Could See"" deserved -- so, he cut the music and told the onlookers to get their minds right. 
       
           Busta says he, along with  Spliff Star  and  DJ Scratchator , have been ripping mics since childhood, and he'll be damned if anyone doesn't respect his hip hop hierarchy!!! 
       
           The audience woke up for take 2, and Busta wooed the fans before getting a surprise of his own -- Team Jeeter crafted a new cannabis strain in Busta's honor, adding him to the family alongside D. Wade. 
       
           The Dungeon Dragon already spits fire ... now he has the smoke to match!!! 
      "
Delta Burke I Tried Crystal Meth to Lose Lbs. ... Didn't Eat for 5 Days!!!,"
           Delta Burke  is revealing the shocking lengths to which she went just to drop a few pounds in her heyday -- using crystal meth as an appetite suppressant! 
       
           The actress -- best known for playing Suzanne Sugarbaker on ""Designing Women"" -- stopped by the ' Glamorous Trash ' podcast and opened up about how the scrutiny over her weight led her to drug use. 
       
           Delta said she was first prescribed weight-loss pills while in acting school in London, but later learned the prescription was illegal in the States -- so, she had someone get her similar pills while she starred in ""Filthy Rich"" between 1982 and 1983. 
       
           The pills, which she called ""Black Beauties,"" helped curb her appetite during the day, but she says she eventually built up a tolerance. 
       
           That's when a coworker suggested she try methamphetamine ... and she did!!! 
       
           She added ... ""[They told me], 'You chop it up. You snort.' I said, I don't want to snort it. So I put it in cranberry juice and [drank] it … and wouldn't eat for 5 days."" 
       
           Despite her attempts to lose weight, Delta recalled still being criticized for her body, which greatly impacted her mental health ... and even led to her early exit from 'DW.' 
       
           While Delta's admission might seem shocking, she isn't the first celeb to seek drug assistance in order to achieve a body transformation. 
       
           The difference is ... now A-listers get those drugs prescribed, as more and more openly turn to weight-loss meds like Wegovy and Ozempic. 
       
           Oprah ,  Amy Schumer ,  Tracy Morgan ,  Sharon Osbourne  and  Chelsea Handler  have all admitted to  using weight-loss drugs . 
       
           Hey, beats the hell outta meth! 
      "
Meek Mill New Hummer EV Almost Killed Me!!! Sticking with Tesla,"
           Meek Mill  is regretting his latest auto purchase ... the ""Dreamchasers"" rapper posted a video of his new Hummer EV vehicle and the evidence is as sour as a lemon!!! 
       
           Back in March, Meek posted a flick of a wrecked GMC but recently revealed how it happened -- he claims the brake pedal fell off, and the car even started driving on him ... while it was in park!!! 
       
           According to Meek, he barely had the whip for 4 hours but witnessed several safety features fail on him, including the airbags ... which he, unfortunately, experienced during the crash!!! 
       
           GMC offered up the typical corporate response and requested Meek send them a DM on X for further info, but Meek might have moved on to other car makers. 
       
           Meek says it was his first non-Tesla electric vehicle and by the sounds of things, he likely won't abandon  Elon Musk 's products again. 
       
           Of course, he might have a similar issue with a Cybertruck, if that's his jam. 
      "
Coachella Weekend 2 Nailed with $28K Fine ... Due to Lana Del LATE!!!,"
           Coachella weekend 2 wrapped up on a low note, financially speaking, as the music festival is facing a $28,000 fine over  Lana Del Rey 's set. 
       
           A rep for the City of Indio, where Coachella takes place, tells TMZ ... the singer's show went over 13 minutes on Friday night. Might not sound like THAT bad of an infraction, but it's enough to trigger the hefty fine. 
       
           Lana's weekend 2 set featured 19 songs in total ... including a  surprise performance  from  Camila Cabello , who performed her new single, ""I LUV IT."" 
       
           However, we're told this is the only fine from the music festival's 2 weekends ... so, overall, the Coachella organizers probably see this as a win. 
       
           The $28K is a huge difference from last year's curfew violations, which resulted in  $117,000 in fines . Similarly, in 2022, the festival's 2 weekends -- plus 1 weekend of Stagecoach -- resulted in the city handing out $61K in fines. 
       
           Still, from what we've been told, this year's event was  noticeably less rowdy  than previous years. 
       
           As TMZ previously reported ... weekend 1 was down 20% in arrests and down 43% in citations. 
       
           Yet, this might have something to do with the  lackluster ticket sales  for this year's event. There were loads of Coachella passes still up for grabs on the website ... strikingly different from past years, where the event sold out in less than a day. 
       
           So, while the decrease in arrests and fines is good for the city ... it might be a bad sign for Coachella's future. 
      "
MINNESOTA CAR CRASH Up in Flames ... Driver Saved by Brave Passersby!!!,"
           A bunch of good Samaritans banded together to save a driver from a burning car at the very last second ... and the harrowing rescue is all on video. 
       
           Dash cam footage captured the tense scene moments after the driver veered off a highway in St. Paul, Minnesota ... crashing into a light pole. As the flames started spreading, several passersby sprang into action, feverishly trying to free the driver, who was trapped inside. 
       
           As you can see, as many as 6 people gripped the car doors and tried to force them open -- they were pinned against a guardrail -- so the driver could get out. 
       
           They had the whole car rocking as the flames grew higher and higher -- but it was impossible to get the doors open wide enough for the driver to squeeze out. 
       
           Kadir Tolla , whose dash cam captured the scene, then grabbed a piece of discarded plastic from the highway, and tried to smash the window ... but even that didn't do the trick. 
       
           Just when it seemed like time was running out -- several small explosions were erupting from under the hood -- a highway worker arrived and managed to break the driver's window, and they pulled the driver out to safety. 
       
           Tolla tells FOX Minneapolis, the situation was one of the scariest moments of his life -- but he stopped to help because he realized it could easily have been him in that situation, and he hoped strangers would lend a hand if he ever needed it. 
       
           Paramedics rushed the driver to Regions Hospital for medical evaluation ... and despite the terrifying ordeal, he miraculously did not sustain any serious injuries. 
      "
Kim Kardashian vs. Taylor Swift When Swifties Attack ... Kim Loses 100K Social Followers!!!,"
           Kim Kardashian 's social media profile is taking a hit in the wake of  Taylor Swift  dropping a new diss track about the reality TV star. 
       
           ICYMI ... Taylor's new song, ""thanK you aIMee,"" is a thinly veiled revenge anthem against Kim -- hence the capitalized letters in the title. In the song, Taylor blasts a bully from her past ... slamming the woman as a ""bronze spray-tanned statue."" 
       
           And, only a few days after the track's release, Kim's lost more than 100,000 fans on social media ... with countless Swifties spamming her Instagram and X pages with vitriol. 
       
           One fan wrote ... ""Finally someone stood up to Aimee."" 
       
           Another said Kim should've apologized back in 2016, after she tried to paint Taylor as a liar by  releasing a private conversation  between the singer and her ex-husband,  Kanye West . 
       
           However, not everyone has viewed this new diss track as a negative ... with several of Kim's fans claiming this song has only further elevated the SKIMS mogul's fame. Others have called on Kim's momager  Kris Jenner  to cash in on the drama by responding to the diss track on the family's Hulu show. 
       
           BTW, losing 100K on social is basically a blip on Kim's radar -- she does still have 363 million, just on Instagram. 
       
           Taylor has made it no secret she's still upset with Kim all these years later -- in her 'TIME' Person of the Year cover story, she called out Kim by name for trying to get her canceled. 
       
           She said ... ""You have a fully manufactured frame job, in an illegally recorded phone call, which Kim Kardashian edited and then put out to say to everyone that I was a liar ... That took me down psychologically to a place I’ve never been before."" 
       
           Kim has ignored the drama for the most part ... but this might be over the fact her daughter,  North West , is a Taylor Swift fan -- which TS references in 'aIMee.' 
       
           There's no forgiving and forgetting here. 
      "
MICHAEL JACKSON NEVERLAND RANCH RESTORED!!! Cameras Roll For Biopic,"
           Michael Jackson 's infamous Neverland theme park is dusting off the cobwebs to film scenes for a new biopic about the late singer's life. 
       
           As you can see in the aerial shots ... the film company behind the biopic has restored signature features from when Jackson owned the 2,700-acre ranch near Santa Barbara -- the Ferris wheel, merry-go-round and circus tent all got colorful makeovers. 
       
           Everything's buzzin' with life and fun at the revamped Neverland Ranch ... with a whole lineup of other fairground rides, such as a hot-air balloon ride and even a red train. 
       
           Filming was in full swing Friday with camera crews set up, and extras fully immersed in their roles as balloon sellers, ride operators, and food stall vendors. 
       
           Michael stopped living at Neverland after 2003, when Sheriff's deputies executed a search warrant related to the child molestation case. Although he never returned, his estate still co-owned the Ranch until 2020 -- that's when  Ron Burkle  -- a Jackson family friend -- purchased it for a reported $22 million. 
       
           The MJ biopic  has his nephew ,  Jaafar Jackson , playing the King of Pop ... and, since the Jackson Estate is behind the film, it will feature loads of Michael's hits. 
       
           A first-look trailer for the movie was unveiled at Lionsgate's CinemaCon panel earlier this month -- but hold onto your hats, as it's only halfway through production. 
       
           Fans will have to wait until 2025 until the movie hits theaters. 
      "
Post Malone Tribute to Taylor Swift Sparks Bad Blood with Beyoncé Fans,"
           Post Malone  has gotta be screaming, ""damned if ya do, damned if ya don't"" -- after recording collabs with  Taylor Swift  AND  Beyoncé  ... Swifties love him, but the Beyhive's pissed. 
       
           The drama started when one fan called out the striking difference between Post's tributes for Taylor and Bey ... pointing out he wrote a heartfelt note to TS, but just dropped a simple shout-out for B. 
       
           After the release of ""Fortnight"" -- the song he did with Taylor -- Post took to Instagram and shared a photo of them in the studio, and wrote, ""It’s once in a lifetime that someone like @taylorswift comes into this world. I am floored by your heart and your mind, and I am beyond honored to have been asked to help you with your journey 🥹 I love you so much. Thank you Tay 💕"" 
       
           While he also uploaded a tribute for his Bey duet, ""LEVII'S JEANS"" -- from the ""Cowboy Carter"" album -- his caption was a more simple, ""i love you @beyonce."" 
       
           Several fans on X took it as a snub to Beyoncé, but not all agreed and the debate was on -- Beyhive v. Swiftees! 
       
           One team Taylor rebuttal explained, ""Taylor wrote two posts about him. he gave her same energy. stop crying for god's sake."" 
       
           Another added ... ""you are acting like as if he’s cursing on beyoncé or he said something bad like.. i don’t see any problem at all."" 
       
           Still, others felt Post's performance on Beyoncé's album was more impressive ... and deserved more than a one-sentence declaration of love. 
       
           At the end of the day, Bey and Tay are very vocal about supporting each other. Remember, they  attended each other's movie premieres  last year  ... shutting down any notion of a rivalry. 
       
           So, the drama all seems unnecessary -- unless, of course, you're among the overly faithful fanbase of either singer. 
       
           For more Taylor news, be sure to check out  ""The TMZ Swift-Tea,""  available on all podcast platforms. 
      "
